id,plz,price,rooms,space
9c13e0c3-7d4c-4de0-a60f-4b78278fa671,3018,1590.0,3.0,72.0
a051da16-2ab6-4061-b14e-bdfb207a4718,3006,2200.0,3.5,85.0
0a07bbfa-368e-454f-b420-e9c2120ad321,3008,2130.0,4.0,82.0
f87f41b8-9319-4002-b026-e523eeecb0af,3011,2450.0,3.0,97.0
fe8fa9f2-cf19-4968-b8a5-40542892eba1,3027,2160.0,3.5,95.0
f070ffbf-ac15-4554-a4ee-8580a2997a24,3006,4260.0,6.5,147.0
c92a41f0-949a-461b-9e4d-928f8fb388ba,3006,2900.0,4.5,98.0
6c59b0a5-13b7-4ca5-9b84-43485c36fee3,3011,2900.0,4.0,80.0
5d6152d6-fe96-475f-9e2b-3882e94ba798,3014,2240.0,3.0,73.0
9f2c0487-8801-4032-9bfc-98c36a840096,3006,2920.0,3.0,95.0
272ce1d9-de28-4afe-a28f-9a1f6b555002,3013,2650.0,4.5,95.0
612e0e1d-b10f-4435-a667-d16cbaf7a6c9,3012,2160.0,4.0,87.0
7ae3664b-694f-42a9-9e08-9c4711fdcdd1,3027,1780.0,3.5,60.0
3346a16c-cfbb-4813-b2ea-5953d77249b6,3006,2650.0,2.5,63.0
ff9f2a41-360c-4d96-9b8e-5fddbd144904,3006,2400.0,3.5,78.0
0387b772-55af-4ce4-88be-d0dab28de3f2,3018,2860.0,4.5,100.0
7bf17eb3-7e44-4816-8e14-07ddda1d433a,3008,2800.0,3.5,127.0
ebad6414-7c36-45d8-b780-656c48a945a4,3006,1790.0,2.5,52.0
5d734ea6-fdba-418f-8f6d-35ef9b4328d3,3005,2500.0,3.5,90.0
9e79099a-a7e8-4740-b98c-c234e5a1b332,3012,2850.0,4.5,92.0
ba90dbdf-b234-464c-a182-be03c0283d12,3006,1070.0,1.0,27.0
2b798703-9a9e-42a5-8825-1865b045c607,3006,2680.0,3.0,92.0
3b9270af-4217-4472-b1be-50b2afb8cbc6,3018,1570.0,3.5,64.0
5abb4496-b944-4680-b1ca-cc540355259f,3011,1850.0,3.0,85.0
ed2d112e-1b0c-46af-a8c9-003cc11c1a26,3013,2161.0,3.0,64.0
0665e1ee-c721-4d9a-ad15-f1537cf798c5,3006,3850.0,4.0,110.0
ff318d9d-07d4-43b1-97f9-77f79c45cb1a,3018,2190.0,3.5,80.0
032c8d93-dfcf-48c3-87bb-7fb5ccebd38b,3007,2350.0,3.5,85.0
9c1e7ffb-8668-43d4-bf06-61e9d202388a,3014,1701.0,3.5,65.0
abd4e638-5bd8-4e31-bb44-c2daebb91388,3027,1410.0,3.0,76.0
fa323744-9961-4e35-984a-b5954124a576,3006,1550.0,2.5,59.0
16e765d2-25d6-4365-b0cc-7e03e2bac676,3008,2370.0,4.5,93.0
98936fe0-467c-4108-897d-9f6e051a6c25,3012,2195.0,3.0,73.0
cbb62fc4-8e99-48cb-92fb-b503e9d07585,3015,2101.0,2.5,66.0
9fa9486a-2499-4c95-b7b1-4b3bca158a0f,3018,1655.0,3.0,70.0
d9a27927-7960-46df-b5e1-b4f2f010c09a,3018,1860.0,3.5,73.0
39a63542-929a-4b1a-9c18-e39fb5888158,3014,2250.0,4.0,105.0
d0ea963d-c938-4487-959d-f971d86c14a5,3011,5450.0,4.0,260.0
1f8e70fb-77e4-49d8-8bdc-6686d1ba8212,3015,2500.0,4.0,104.0
83e4d3da-c920-42fd-adcd-074582234969,3012,1981.0,2.0,185.0
4211d3b4-0806-4ccf-95a0-9230eff4312a,3007,1745.0,3.5,85.0
87b731f2-a3ca-49bd-8d63-3448b8ce5783,3007,2020.0,3.5,90.0
3d250ff7-3d8e-4480-9529-b0246a63b9fb,3008,2130.0,3.5,83.0
a09503c7-49c8-4114-8b43-46d778bf1da7,3008,2390.0,3.5,77.0
94204ac6-14eb-4234-ae13-0c692a917646,3008,2490.0,3.5,82.0
9b66979f-bace-4706-b35b-425930a77f22,3008,1620.0,2.5,65.0
